simulation_id,node_id,node_type,value_initial,value_final,value_max,value_min,value_mean,rate_final
33,grado_II,degree,0.0,1501.0,1501.0,0.0,886.9016393442623,0.37884906612821806
33,grado_III,degree,0.0,1044.0,1044.0,0.0,621.8852459016393,0.2635032811711257
33,teleasistencia,benefit,0.0,825.0,825.0,0.0,435.2295081967213,0.29751172015867294
33,ayuda_domicilio,benefit,0.0,567.0,567.0,0.0,292.327868852459,0.20447169130905157
33,atencion_residencial,benefit,0.0,292.0,292.0,0.0,153.9344262295082,0.10530111792282726
33,cuidados_familiares,benefit,0.0,1089.0,1089.0,0.0,566.2622950819672,0.3927154706094482
34,sistema,system,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
34,vulnerables,population,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
34,no_solicitantes,administrative_state,6387.0,804.0,6387.0,804.0,2720.72131147541,0.12588069516204792
34,pendiente_grado,administrative_state,0.0,160.0,838.0,0.0,457.8360655737705,0.025050884609362768
34,sin_grado,administrative_state,0.0,1319.0,1319.0,0.0,776.2622950819672,0.20651322999843433
34,con_derecho,administrative_state,0.0,143.0,530.0,0.0,317.44262295081967,0.022389228119617972
34,con_pia,administrative_state,0.0,21.0,126.0,0.0,64.93442622950819,0.0032879286049788633
34,prestacion_efectiva,administrative_state,0.0,2704.0,2704.0,0.0,1403.7868852459017,0.4233599498982308
34,lista_espera,administrative_state,0.0,1236.0,1236.0,0.0,646.016393442623,0.1935180836073274
34,grado_I,degree,0.0,1480.0,1480.0,0.0,876.688524590164,0.36062378167641324
34,grado_II,degree,0.0,1536.0,1536.0,0.0,908.4918032786885,0.3742690058479532
34,grado_III,degree,0.0,1088.0,1088.0,0.0,647.0,0.2651072124756335
34,teleasistencia,benefit,0.0,871.0,871.0,0.0,445.44262295081967,0.32211538461538464
34,ayuda_domicilio,benefit,0.0,532.0,532.0,0.0,265.57377049180326,0.19674556213017752
34,atencion_residencial,benefit,0.0,321.0,321.0,0.0,168.60655737704917,0.11871301775147929
34,cuidados_familiares,benefit,0.0,980.0,980.0,0.0,524.1639344262295,0.3624260355029586
35,sistema,system,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
35,vulnerables,population,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
35,no_solicitantes,administrative_state,6387.0,664.0,6387.0,664.0,2572.9836065573772,0.10396117112885549
35,pendiente_grado,administrative_state,0.0,205.0,914.0,0.0,526.360655737705,0.03209644590574605
35,sin_grado,administrative_state,0.0,1325.0,1325.0,0.0,795.344262295082,0.20745263817128543
35,con_derecho,administrative_state,0.0,124.0,471.0,0.0,282.8524590163934,0.019414435572256146
35,con_pia,administrative_state,0.0,30.0,124.0,0.0,66.70491803278688,0.004697040864255519
